areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E10000003,Cambridgeshire,utla,2022-01-25,00_04,50,382,1058.0
E10000003,Cambridgeshire,utla,2022-01-25,00_59,1280,8293,1682.8
E10000003,Cambridgeshire,utla,2022-01-25,05_09,187,1490,3673.1
E10000003,Cambridgeshire,utla,2022-01-25,10_14,204,1358,3456.5
E10000003,Cambridgeshire,utla,2022-01-25,15_19,103,513,1383.5
E10000003,Cambridgeshire,utla,2022-01-25,20_24,96,450,1033.2
E10000003,Cambridgeshire,utla,2022-01-25,25_29,78,510,1275.5
E10000003,Cambridgeshire,utla,2022-01-25,30_34,106,670,1690.5
E10000003,Cambridgeshire,utla,2022-01-25,35_39,118,811,1992.6
E10000003,Cambridgeshire,utla,2022-01-25,40_44,122,831,2014.5
E10000003,Cambridgeshire,utla,2022-01-25,45_49,104,637,1444.0
E10000003,Cambridgeshire,utla,2022-01-25,50_54,68,382,826.1
E10000003,Cambridgeshire,utla,2022-01-25,55_59,44,259,584.8
E10000003,Cambridgeshire,utla,2022-01-25,60+,86,607,369.2
E10000003,Cambridgeshire,utla,2022-01-25,60_64,31,180,485.5
E10000003,Cambridgeshire,utla,2022-01-25,65_69,21,137,409.4
E10000003,Cambridgeshire,utla,2022-01-25,70_74,13,100,289.5
E10000003,Cambridgeshire,utla,2022-01-25,75_79,10,62,253.2
E10000003,Cambridgeshire,utla,2022-01-25,80_84,4,52,302.3
E10000003,Cambridgeshire,utla,2022-01-25,85_89,5,33,305.9
E10000003,Cambridgeshire,utla,2022-01-25,90+,2,43,628.0
E10000003,Cambridgeshire,utla,2022-01-25,unassigned,0,0,
E10000003,Cambridgeshire,utla,2022-01-24,00_04,67,397,1099.5
E10000003,Cambridgeshire,utla,2022-01-24,00_59,1443,8212,1666.4
E10000003,Cambridgeshire,utla,2022-01-24,05_09,238,1571,3872.8
E10000003,Cambridgeshire,utla,2022-01-24,10_14,266,1327,3377.6
E10000003,Cambridgeshire,utla,2022-01-24,15_19,95,461,1243.2
E10000003,Cambridgeshire,utla,2022-01-24,20_24,86,415,952.9
E10000003,Cambridgeshire,utla,2022-01-24,25_29,86,502,1255.5
E10000003,Cambridgeshire,utla,2022-01-24,30_34,113,661,1667.8
E10000003,Cambridgeshire,utla,2022-01-24,35_39,127,819,2012.2
E10000003,Cambridgeshire,utla,2022-01-24,40_44,133,830,2012.1
E10000003,Cambridgeshire,utla,2022-01-24,45_49,118,605,1371.4
E10000003,Cambridgeshire,utla,2022-01-24,50_54,65,372,804.5
E10000003,Cambridgeshire,utla,2022-01-24,55_59,49,252,569.0
E10000003,Cambridgeshire,utla,2022-01-24,60+,104,609,370.4
E10000003,Cambridgeshire,utla,2022-01-24,60_64,33,176,474.7
E10000003,Cambridgeshire,utla,2022-01-24,65_69,24,139,415.4
E10000003,Cambridgeshire,utla,2022-01-24,70_74,11,96,277.9
E10000003,Cambridgeshire,utla,2022-01-24,75_79,7,61,249.1
E10000003,Cambridgeshire,utla,2022-01-24,80_84,7,53,308.1
E10000003,Cambridgeshire,utla,2022-01-24,85_89,7,36,333.7
E10000003,Cambridgeshire,utla,2022-01-24,90+,15,48,701.0
E10000003,Cambridgeshire,utla,2022-01-24,unassigned,0,0,
E10000003,Cambridgeshire,utla,2022-01-23,00_04,46,404,1118.9
E10000003,Cambridgeshire,utla,2022-01-23,00_59,1172,8079,1639.4
E10000003,Cambridgeshire,utla,2022-01-23,05_09,228,1644,4052.8
E10000003,Cambridgeshire,utla,2022-01-23,10_14,217,1259,3204.5
E10000003,Cambridgeshire,utla,2022-01-23,15_19,99,458,1235.1
E10000003,Cambridgeshire,utla,2022-01-23,20_24,48,392,900.1
E10000003,Cambridgeshire,utla,2022-01-23,25_29,65,484,1210.5
E10000003,Cambridgeshire,utla,2022-01-23,30_34,86,646,1629.9
E10000003,Cambridgeshire,utla,2022-01-23,35_39,94,808,1985.2
E10000003,Cambridgeshire,utla,2022-01-23,40_44,126,807,1956.3
E10000003,Cambridgeshire,utla,2022-01-23,45_49,76,568,1287.6
E10000003,Cambridgeshire,utla,2022-01-23,50_54,58,365,789.3
E10000003,Cambridgeshire,utla,2022-01-23,55_59,29,244,550.9
E10000003,Cambridgeshire,utla,2022-01-23,60+,73,628,382.0
E10000003,Cambridgeshire,utla,2022-01-23,60_64,20,164,442.4
E10000003,Cambridgeshire,utla,2022-01-23,65_69,14,132,394.5
E10000003,Cambridgeshire,utla,2022-01-23,70_74,19,100,289.5
E10000003,Cambridgeshire,utla,2022-01-23,75_79,8,68,277.7
E10000003,Cambridgeshire,utla,2022-01-23,80_84,6,62,360.4
E10000003,Cambridgeshire,utla,2022-01-23,85_89,3,41,380.1
E10000003,Cambridgeshire,utla,2022-01-23,90+,3,61,890.9
E10000003,Cambridgeshire,utla,2022-01-23,unassigned,0,1,
E10000003,Cambridgeshire,utla,2022-01-22,00_04,43,435,1204.8
E10000003,Cambridgeshire,utla,2022-01-22,00_59,984,7892,1601.4
E10000003,Cambridgeshire,utla,2022-01-22,05_09,195,1621,3996.1
E10000003,Cambridgeshire,utla,2022-01-22,10_14,168,1207,3072.2
E10000003,Cambridgeshire,utla,2022-01-22,15_19,54,413,1113.8
